Title,URL,Description
"Ukraine war: Russian 'evil cannot be trusted', Zelensky tells UN",https://www.bbc.com/news/world-66859639,"['""Evil cannot be trusted,"" Ukrainian President Volodymyr Zelensky has told the UN General Assembly, as he urged the world to unite to end Russian aggression against his country.', 'In a passionate speech in New York, Mr Zelensky said a nuclear-armed Moscow must be stopped from ""pushing the world to the final war"".', 'He also accused Russia of weaponising everything from food to energy.', ""Russia's full-scale invasion has prompted widespread condemnation."", 'In a speech which focused heavily on the danger Russia poses to the world, he argued that other common challenges such as climate change can only be properly addressed after Moscow had been pushed back.', '""While Russia is pushing the world to the final war, Ukraine is doing everything to ensure that after the Russian aggression no-one in the world will dare to attack any nation,"" Mr Zelensky said to world leaders attending the annual General Assembly.', 'He also said Russia simply had ""no right to hold nuclear weapons"".', '""Weaponisation must be restrained, war crimes must be punished, deported people must come back home, and the occupier must return to their own land.', '""We must be united to make it, and we will do it!"" Mr Zelensky said.', 'He also accused Moscow of carrying out ""genocide"" by abducting Ukrainian children.', 'In March, the International Criminal Court (ICC) issued an arrest warrant for Russian President Vladimir Putin over the alleged unlawful deportation of Ukrainian children to Russia.', ""Moscow has repeatedly denied Ukraine's accusations - but a number international experts and organisations point to a growing evidence that Russia has committed war crimes in Ukraine."", 'The Ukrainian president went on to warn against ""shady deals"" to try to end the war - the biggest in Europe since World War Two - on unfair terms.', 'But his key point was to warn the international community that the outcome of the war would affect everyone.', 'Russia\'s goal, he said, was to turn Ukraine into ""a weapon against you, against the rules based international order"".', 'The peace formula that he had been outlining for months was, he said, not just for Ukraine, but also the rest of the world.', 'So the pitch was clear and aimed squarely at countries - many of them in the so-called ""Global South"" including Brazil and India - which have thus far stayed on the side lines.', 'A number of nations have even strengthened their economic ties with the Kremlin.', ""Western powers have been rushing around the UN trying to address those countries' wider concerns about development issues and climate change."", ""Earlier in the day, the Ukrainian leader applauded Joe Biden's speech, in which his US counterpart warned of grave consequences if Russia's aggression was not stopped."", '""Russia believes that the world will grow weary and allow it to brutalise Ukraine without consequence. If we allow Ukraine to be carved up, is the independence of any nation secure?"" Mr Biden said.', ""President Putin is not attending this year's General Assembly.""]"
How India-Canada ties descended into a public feud,https://www.bbc.com/news/world-asia-india-66851144,"['The escalating row over the murder of a Sikh separatist leader has the potential to derail years of close relations between Canada and India, two key strategic partners on security and trade.', 'The rift burst into the open on Monday when Prime Minister Justin Trudeau said Canada was investigating ""credible allegations"" about the potential involvement of Indian government agents in the murder of Hardeep Singh Nijjar in British Columbia in June.', 'India responded furiously - it ""completely rejected"" the allegations, calling them ""absurd"". Both have expelled one of the other\'s diplomats and it\'s unclear how they now pull back from the brink.', 'Just a few months ago, the countries were making progress towards signing a free trade agreement - long in the works - this year. Now, talks are paused and an imminent Canadian trade mission to India postponed.', 'So how did things reach this point?', ""The recent G20 summit hosted by Delhi offered some hints, key among them Mr Trudeau's tense (and short) meeting with Indian Prime Minister Narendra Modi. Then he suffered the embarrassment of having to wait in Delhi for two more days before he could leave after his plane developed a technical fault."", 'After the two leaders met there was no mincing of words. Mr Trudeau said Canada would always defend ""freedom of expression"" while acting against hatred.', 'In an uncharacteristically sharp statement, the Indian government said it had ""strong concerns about continuing anti-India activities of extremist elements in Canada"" who it accused of ""promoting secessionism and inciting violence against Indian diplomats"".', ""The reference is to calls by Sikh activists in Canada for Khalistan, or a separate homeland for Sikhs. It's a demand that evokes painful memories for millions in India, especially in northern Punjab state where Sikhs form the majority of the population (outside Punjab, Canada has the highest number of Sikhs in the world)."", 'The demand for Khalistan peaked in India in the 1980s with an armed insurgency later crushed - thousands of people were killed. The movement is not prominent in Punjab now, and all mainstream Indian political parties vocally oppose it.', 'But calls for Khalistan are still loud among some in the Sikh diaspora in countries such as Canada, Australia and the UK. Delhi has reacted sharply to demonstrations for and referendums on Khalistan by Sikh activists in these countries - not illegal there, but a major irritant for India.', 'The issue received wider global attention after three pro-Khalistan activists died in quick succession in different countries earlier this year.', ""Paramjit Singh Panjwar, chief of the Khalistan Commando Force who was designated a terrorist by India, was shot dead in May in Pakistan - his killers haven't been identified yet."", 'In the UK, Avtar Singh Khanda, said to be the head of the Khalistan Liberation Force, died on 15 June in hospital. Khanda had been arrested in March after a demonstration in London where protesters pulled down the Indian flag at the country\'s embassy. But a UK police spokesperson said the death ""was not deemed to be suspicious"".', ""Three days after his death, Nijjar, also designated a terrorist by India, was shot dead outside a Sikh temple in British Columbia - it's this murder that has now led Canada to take a strong public stand against a powerful ally."", 'Relations between the two have survived previous strains - Canada reacted sharply to Indian nuclear tests in 1974 and 1998; India expressed its disappointment in 2005 after two Canadian Sikhs accused of a deadly Air India bombing were acquitted.', 'But otherwise, the two nations have mostly been on good terms, except for the Khalistan issue. They have a lot in common: ""a shared tradition of democracy and pluralism"" and ""a common commitment to a rules-based international system"", as Canada itself puts it.', 'They are both Commonwealth countries and members of the G20 group of leading world economies. Canada, which wants a bigger footprint in Asia, sees India as a counterweight to China.', ""It's not just geopolitics, the countries also have strong trade links."", ""India was Canada's 10th largest trading partner in 2022, with bilateral trade in goods at $11.9bn that year, up 56% from the previous year. They were very close to signing that trade agreement now on the backburner."", ""So there's obviously a lot at stake for both countries."", '""I do think that this is a lesson to us all that there is nothing sacrosanct about India\'s close relationships with Western partners. This is a wake-up call that yes, India is a non-aligned player, it values its relations with the Global South, it definitely values its relations with the West. But that doesn\'t mean that it\'s going to be insulated from the possibility of a major crisis in relations,"" says Michael Kugelman, director of the South Asia Institute at the Wilson Center think-tank in Washington.', 'India\'s foreign minister S Jaishankar said earlier this year that Canada\'s response to Khalistan has been driven by ""vote bank compulsion"", a reference to the support Mr Trudeau\'s Liberal Party gets from Sikhs. Mr Trudeau\'s minority government is also backed by the New Democratic Party (NDP), which is led by Jagmeet Singh, himself a Sikh.', ""It's an assessment many Indian experts agree with."", 'Chintamani Mahapatra, founder of the Kalinga Institute of Indo-Pacific Studies, says that Mr Trudeau\'s statements on the issue of Khalistan are ""divisive"".', '""He ignores the sentiments of the larger Indo-Canadian community, which includes the Canadian Sikhs, and appears biased in favour of the Khalistanis. Would he like external support for Quebec separatists? Of course not,"" he says, adding that the relationship between India and Canada has become more stressful due to Mr Trudeau.', '""In the name of democracy, human rights and freedom of speech, Canada should not jeopardise its relations with other countries.""', 'But Avinash Paliwal, who teaches politics and international studies at SOAS University of London, says the sudden escalation may not be due to just domestic compulsions.', '""If your intelligence agencies have gathered credible information that another country, even if it is an ally, was involved in a covert operation on your soil, you\'re bound to act on that,"" he says, adding that it\'s likely that Mr Trudeau tried to raise the issue through other channels first.', ""According to India's statement, Mr Trudeau did bring up the allegation with Mr Modi but received short shrift."", 'The Canadian PM has received support from other domestic politicians, including main opposition leader Pierre Poilievre. The West has reacted too - the US says it is ""deeply concerned"" by the allegations, while the UK says it is ""in close touch"" with Canada on the issue.', ""Experts say that while Western countries see India as necessary to counter China's influence, there is also growing concern about the direction of Indian politics under Mr Modi - critics say attacks on minorities have risen since his government came to power, and raise other human rights concerns."", 'The developments will also be closely watched by Beijing and Moscow, which will be glad to see a ""fissure between India and the West"", Mr Paliwal says. However, he adds that this wouldn\'t ""derail the strategic story"" or ""make Washington turn its back"" on India.', 'Mr Kugelman says China and Russia will see the confrontation differently.', '""Beijing does not want to see India broaden and deepen relations with like-minded countries keen to push back against China. So in that regard, this may be seen as a strategic benefit for Beijing. Russia may be perfectly happy to see Canada bogged down in this crisis,"" he says.', 'In the short term, though, an India-Canada confrontation will have geopolitical consequences. If Canada continues to issue strong statements and goes on to directly accuse India, it will present a unique challenge to Western governments, specially the UK and Australia.', 'The way the West backed Delhi at the recent G20 summit was a clear indication that it wants India to be a viable counterweight to China.', 'But it will be a strategic headache for them if it comes to a point where they have to choose between India and Canada. So far, the UK, the US and Australia have given calculated statements.', 'But can India and Canada still mend their differences to avoid a geopolitical challenge for the West?', 'Mr Mahapatra says that while the Khalistan issue can affect economic co-operation in the short term, it\'s unlikely to derail long-term ties between the countries. He also cautions against ""extreme steps"", especially from Canada.', '""Expelling a diplomat means you don\'t want a dialogue. Such issues need to be dealt through dialogue and diplomacy, not confrontation,"" he says.']"
Azerbaijan launches operation against Nagorno-Karabakh and demands surrender,https://www.bbc.com/news/world-europe-66851975,"['Azerbaijan has launched ""anti-terror"" operations in Nagorno-Karabakh, and said it will not stop until ethnic-Armenian separatists surrender.', 'Tensions in the South Caucasus have been high for months around the breakaway enclave, recognised internationally as part of Azerbaijan.', 'Azerbaijan and Armenia last went to war three years ago.', 'Baku ordered ""Illegal Armenian military formations"" to hand over arms and dissolve their ""illegal regime"".', 'Azerbaijan and Armenia first went to war in the early 1990s after the fall of the Soviet Union. Then in 2020 Azerbaijan recaptured areas in and around Nagorno-Karabakh before a truce was agreed and monitored by Russian peacekeepers.', ""Ethnic Armenians in Karabakh appealed on Tuesday for a ceasefire and for talks to start. But it was clear from the Azerbaijani ultimatum that Baku's aim was to complete its conquest of the mountainous enclave."", 'Armenian Prime Minister Nikol Pashinyan accused Azerbaijan of starting a ground operation aimed at ""ethnic cleansing"".', ""But hundreds of Armenian protesters, frustrated by their country's response, clashed with police outside parliament in Yerevan, condemning their leader as a traitor and calling on him to resign."", 'Azerbaijan said talks could start in the town of Yevlakh, some 100km (60km) north of the Karabakh regional capital of Khankendi, called Stepanakert by ethnic Armenians.', ""Since the end of 2020, 3,000 Russians have monitored the fragile truce but Moscow's attention has been diverted by its full-scale invasion of Ukraine."", 'An estimated 120,000 ethnic Armenians live in the mountainous enclave. Russia said its soldiers had moved almost 500 civilians from the most at-risk areas, while separatists said they had helped move a total of 7,000.', 'For the past nine months Azerbaijan has imposed an effective blockade on the only route into the enclave from Armenia, known as the Lachin Corridor.', 'Azerbaijan said it had launched its operation in response to the deaths of six people, including four police, in two landmine explosions on Tuesday morning.', ""Air raid sirens then rang out and the sound of artillery and gunfire could be heard in Karabakh's main city. Residential buildings were damaged and journalist Siranush Sargsyan described seeing a building next door being hit."", 'Karabakh officials said five people had been killed and dozens more wounded, including women and children.', 'Defence officials in the breakaway region said the Azerbaijani military had ""violated the ceasefire along the entire line of contact with missile-artillery strikes"". Other Karabakh representatives spoke of a ""large-scale military offensive"" although later reports said that the intensity of fire had decreased.', 'The Azerbaijan defence ministry insisted it was not targeting civilians or civilian buildings, and that ""only legitimate military targets are being incapacitated by the use of high-precision weapons"".', 'It accused Armenian forces of ""systematic shelling"" of its army positions and said it had responded by launching ""local, anti-terrorist activities... to disarm and secure the withdrawal of formations of Armenia\'s armed forces from our territories"".', ""In a brief televised address, Armenia's prime minister rejected claims that his military was involved."", 'Russia\'s foreign ministry said it had been warned of the Azerbaijani offensive only minutes in advance and urged both countries to respect a ceasefire signed after the war in 2020. The EU\'s regional special representative, Toivo Klaar, said there was ""urgent need for immediate ceasefire"".', 'South Caucasus commentator Laurence Broers said on Tuesday the Armenian population in Karabakh had been weakened by the blockade and the Azerbaijan operation had been launched ""seemingly to retake Armenian-populated Karabakh in its entirety"".', 'Nikol Pashinyan said recently that Russia was ""spontaneously leaving the region"". Azerbaijan has meanwhile had strong support from its ally Turkey.', 'Hikmet Hajiyev, special adviser to Azerbaijan\'s President Ilham Aliyev, called on the separatist ethnic-Armenian administration to ""dissolve itself"".', '""Azerbaijan has always said we are ready to provide rights and security of Karabakh Armenians under the constitution,"" he told BBC News.', ""Azerbaijan had denied building up troop numbers in the region. On Monday, it allowed aid from the International Committee of the Red Cross into Karabakh on two roads, one via the Lachin Corridor from Armenia and the other on Azerbaijan's Aghdam road."", ""Before Tuesday's offensive began there had been hopes that tensions might subside."", ""The Azerbaijan defence ministry released images of a vehicle which it said were destroyed by a land mine, but ethnic Armenian officials said it was Azerbaijan's military that had violated the ceasefire.""]"
Libya flood: Derna mayor's house burnt down in protests,https://www.bbc.com/news/world-africa-66849131,"[""The mayor's home in the Libyan city of Derna has been burnt down, as hundreds of protesters demanded answers for last week's catastrophic flood."", ""They gathered on Monday night at the city's landmark Sahaba Mosque, many chanting for top officials in Libya's eastern government to be sacked."", ""Derna's whole city council has now been dismissed."", 'Internet and telephone access have also been shut down and journalists ordered to leave in a media crackdown.', 'More than 10,000 people are officially missing after two old and dilapidated dams burst, flooding the city.', 'Figures given for the number of people known to have died have varied widely but the UN says it has confirmed close to 4,000 deaths.', 'The UN now says one of its teams has been refused permission to enter Derna.', '""We can confirm that search and rescue teams, emergency medical teams and UN colleagues who are already in Derna continue to operate,"" Najwa Mekki, of the UN\'s humanitarian body OCHA, told Reuters news agency on Tuesday.', '""However, a UN team was due to travel from Benghazi to Derna today but were not authorized to proceed,"" she added.', ""The home of Derna's mayor, Abdulmenam al-Ghaithi, has become a focal point for people's anger."", 'Residents say they were not sufficiently warned by officials, who they believe must have known a huge amount of rainfall was coming.', 'They say they were also given a stay-at-home warning rather than being told to evacuate, although officials deny this.', ""Since the ousting of long-time leader Muammar Gaddafi, Libya has been riven by power struggles and currently has two governments - a UN-recognised one based in Tripoli, and another in the country's east backed by warlord Gen Khalifa Haftar."", 'He has been calling the flooding a natural disaster but many Libyans disagree, saying the eastern government had neglected the dams despite prior warnings about their fragile condition.', 'Speaking from his hospital bed in Benghazi, 48-year-old Abdelqader al-Omrani told the AFP news agency that he and other people living near the dams had ""warned the municipality and demanded repairs"" after spotting leaks two years ago. ""They [now] have our deaths on their conscience,"" he said.', ""Scientists from the World Weather Attribution group said Libya's conflict and poor dam maintenance had turned extreme weather into a humanitarian disaster, but noted that up to 50% more rain pounded eastern Libya because of global warming caused by human activity."", ""On Tuesday, the day after the protests, a minister in eastern Libya's government announced that all journalists had been asked to leave Derna, and accused them of hampering the work of rescue teams."", '""Have no doubt, this is not about health or safety, but about punishing Dernawis [Derna\'s residents] for protesting,"" said Emadeddin Badi of the Atlantic Council think tank, in a post on X (formerly Twitter).', 'In addition to a large international aid effort, parts of Libya where, until recently, militias had been fighting each other are now sending volunteers and their own private vehicles with food, water, medicine and bedding.', 'But humanitarians warn of a brewing public health crisis and demonstrators say they need more aid.', 'And with their most vital possessions washed away by the water, they also want processing facilities set up to replace lost passports and identity documents.', ""Monday's rallies at the Sahaba Mosque - itself partially damaged by flooding - were the biggest seen since the floods hit, and there are suggestions the protest has some institutional backing."", '""The location of the protest, the Sahaba Mosque, is normally cordoned off as part of the rescue area - so how come all of a sudden all the public was allowed to go [there]?"" Claudia Gazzini of International Crisis Group in Libya told BBC Newsday.', '""It makes me think that it wasn\'t necessarily just a spontaneous outburst of anger.""']"
Pro-wrestlers grapple on super-fast Japanese bullet train,https://www.bbc.com/news/world-asia-66856413,[]
Beijing demands Hong Kong consulates hand over local staff data,https://www.bbc.com/news/world-asia-china-66854432,"['Beijing has told foreign consulates in Hong Kong to hand over personal details of all locally hired staff.', ""Local media report that a letter from the city arm of China's Foreign Ministry asked for the data to be submitted by 18 October."", ""The requirements apply to all foreign missions' local employees, including permanent residents and non-permanent residents in the financial hub."", 'The move would bring rules in Hong Kong into line with those in the mainland.', 'Hong Kong is part of China, but has had some autonomy since the end of British rule in 1997.', 'But following months of major demonstrations in 2019, Beijing tightened its control over the city by imposing a strict national security law outlawing many forms of dissent.', 'The law outlaws collusion with foreign governments.', 'Although already a requirement for Chinese employees of foreign embassies and consulates in the mainland, this is believed this is the first time such a policy is being implemented in Hong Kong.', ""The information to be submitted to Chinese authorities includes the staff's job titles, residential addresses, and identity card numbers."", ""Consulates have also been asked to report new hires' personal details within 15 days once they start at work, according to local media."", 'The letter stated that the collected data could be passed on to other authorities ""for exercising their function in relation to managing the presence of the staff locally engaged"", the South China Morning Post reported.', ""The Commissioner's Office of China's Foreign Ministry in Hong Kong has not specified the purpose of the requirements.""]"
Ex-NFL player missing after mother found murdered,https://www.bbc.com/news/world-us-canada-66857467,"['Police are searching for a former NFL player after his mother was found dead at their home in a suburb of Chicago.', 'Investigators believe that Myrtle Brown, 73, was assaulted before she died. Her death has been ruled a homicide.', 'The whereabouts of her son Sergio Brown, 35, remain unknown. Police have not named him as a suspect.', 'Mr Brown played for four professional teams during a six-year career in the NFL.', 'According to police in the town of Maywood - about 12 miles (19km) west of Chicago - officers investigating a missing persons report filed by family members discovered Ms Brown ""unresponsive near a creek to the rear of her residence"".', ""Her body was later transported to a medical examiner's office, where it was determined she had suffered from multiple assault injuries."", ""Mrs Brown's other son, Nick Brown, took to Instagram on Monday to plead for help as the search for his brother continues."", '""If you have any information on Sergio\'s whereabouts please send them to the Maywood Police Department,"" he wrote.', ""He added that people should avoid the family's property in Maywood, which he said was still the scene of an ongoing investigation."", 'Police have not stated if Mr Brown is a suspect or person of interest in the case.', 'In a bizarre turn of events first reported by a Chicago Fox affiliate, Sergio Brown has reportedly appeared on Instagram in a video in which he calls reports of the murder ""fake news"".', 'In the rambling, sometimes incoherent video, Mr Brown claims his mother was on vacation in Mexico at the time of the incident. He also accuses both the FBI and Maywood Police Department of involvement.', 'The video - which appears on a separate account from his verified Instagram page - could not be independently verified by the BBC.', 'The BBC has reached out to the Maywood Police Department for comment.', 'Mr Brown, a graduate of Notre Dame University, began his career with the New England Patriots in 2010. He went on to play for the Indianapolis Colts, Buffalo Bills and Jacksonville Jaguars before leaving the NFL in 2016.', 'A local resident, Carlos Cortez, told CBS, the BBC\'s US partner, that the Brown family had told him that Mr Brown ""wasn\'t himself the last few months"".', '""He was out of his mind,"" Mr Cortez added.', ""Police are now seeking the public's help to find Mr Brown.""]"
Rishi Sunak considers weakening key green policies,https://www.bbc.com/news/uk-politics-66857551,"[""Rishi Sunak is considering weakening some of the government's key green commitments in a major policy shift."", 'It could include delaying a ban on the sales of new petrol and diesel cars and phasing out gas boilers, multiple sources have told the BBC.', 'The PM is preparing to set out the changes in a speech in the coming days.', 'Responding to the reported plans, he said the government was committed to reaching net zero carbon emissions by 2050 but in a ""more proportionate way"".', 'The aim of net zero is for the UK to take out of the atmosphere as many greenhouse gas emissions - such as carbon dioxide - as it puts in.', 'The prime minister said: ""For too many years politicians in governments of all stripes have not been honest about costs and trade-offs. Instead they have taken the easy way out, saying we can have it all.', '""This realism doesn\'t mean losing our ambition or abandoning our commitments. Far from it.', '""I am proud that Britain is leading the world on climate change.""', 'He said the UK was committed to international climate agreements it had already made.', '""No leak will stop me beginning the process of telling the country how and why we need to change,"" he said.', 'Mr Sunak added that he would give a speech later this week ""to set out an important long-term decision we need to make so our country becomes the place I know we all want it to be for our children"".', ""If he presses ahead with the plan it would represent a significant shift in the Conservative Party's approach to net zero policy, as well as establishing a clear dividing line with the Labour Party."", ""According to multiple sources briefed on Downing Street's thinking, Mr Sunak would use the speech to hail the UK as a world leader on net zero."", 'But he would also argue that Britain has over-delivered on confronting climate change and that other countries need to do more to pull their weight.', 'Some specifics of the speech are still thought to be under discussion, but as it stands it could include as many as seven core policy changes or commitments, documents seen by the BBC suggest.', 'First, the government would push the ban on the sale of new petrol and diesel cars - currently set to come into force in 2030 - back to 2035. The 2030 date has been government policy since 2020.', 'Second, the government would significantly weaken the plan to phase out the installation of gas boilers by 2035, saying that they only want 80% to be phased out by that year.', 'Third, homeowners and landlords would be told that there will be no new energy efficiency regulations on homes. Ministers had been considering imposing fines on landlords who fail to upgrade their properties to a certain level of energy efficiency.', 'Fourth, the 2026 ban on off-grid oil boilers will be delayed to 2035, with only an 80% phase out target at that date.', ""In addition, Britons will be told that there will be no new taxes to discourage flying, no government policies to change people's diets and no measures to encourage carpooling."", 'Mr Sunak is also likely to rule out what he sees as burdensome recycling schemes.', 'The government had reportedly been considering a recycling strategy in which households would have had ""seven bins"" - with six separate recycling bins plus one for general waste.', 'A Labour spokesperson said: ""This is a total farce. The country cannot go on with a Conservative government in total disarray, stumbling from crisis to crisis.', '""Ministers need to urgently provide clarity on all eight of the policies reportedly up for review.""', 'Conservative MP Chris Skidmore, the former chairman of the UK government\'s net zero review, said diluting green policies would ""cost the UK jobs, inward investment, and future economic growth that could have been ours by committing to the industries of the future"".', '""Rishi Sunak still has time to think again and not make the greatest mistake of his premiership, condemning the UK to missing out on what can be the opportunity of the decade to deliver growth, jobs and future prosperity,"" he said.', 'Former Conservative minister, Sir Alok Sharma, who was president of the COP26 climate summit, said the UK had been a leader on climate action ""but we cannot rest on our laurels"".', '""For any party to resile from this agenda will not help economically or electorally,"" he added.', 'Green Party MP, Caroline Lucas called any rollback on net zero ""economically illiterate, historically inaccurate and environmentally bone-headed"".', 'But Tory MP Craig Mackinlay, who chairs the net zero scrutiny group, said he was ""pleased to see some pragmatism"" from Mr Sunak.', 'Moving back dates for net zero targets ""will take pie in the sky \'greenwash\' measures out of clearly unachievable deadlines"".', 'Former Conservative minister David Jones said modifying green policies was ""inevitable and sensible"", adding that pressing on with the 2030 ban on new petrol and diesel cars would ""seriously damage the British motor industry"".', 'On Thursday, the King will be on a State Visit to France, where he will host what is known as a Climate Mobilisation Forum.', 'The event convenes specialists in climate finance, and aims to help developing economies make adjustments to cut emissions.', 'The King will be accompanied by Foreign Secretary James Cleverly.']"
Germany bans neo-Nazi group Hammerskins,https://www.bbc.com/news/world-europe-66852067,"['Germany has outlawed Hammerskins, a neo-Nazi group known for its role in organising far-right concerts and selling racist music.', 'The move set ""a clear signal against racism and antisemitism"", Germany\'s interior minister said.', 'The authorities raided the residences of 28 leading members of the group across the country.', 'Hammerskins, founded in the US in the late 1980s, is thought to have about 130 members in Germany.', 'The German authorities described the ban as ""a hard blow against organised right-wing extremism"" and said it was putting an end to ""the inhumane actions of an internationally active neo-Nazi association"".', '""Right-wing extremism remains the biggest extremist threat to our democracy. That\'s why we continue to act very decisively,"" said German interior minister Nancy Faeser.', 'A key goal of the skinhead group was to use concerts to spread its far-right ideology, she said.', 'Hammerskins was heavily involved in setting up neo-Nazi music labels, selling antisemitic records and organising clandestine music events.', 'The group has, for example, been linked to a venue called Hate Bar in the western German state of Saarland, where police made arrests for the showcasing of banned symbols during far-right concerts as recently as April this year.', 'The German authorities said they had been working closely with their counterparts in the United States ahead of the ban.', 'Hammerskins was founded in Texas in 1988 and spread across the US and several other countries. It has a top-down structure, with the so-called Hammerskin Nation as the global umbrella of its national offshoots.', 'According to the German authorities, Hammerskins has been active in the country since the early 1990s and was one of the most influential far-right organisations in Europe.', 'It was divided into 13 regional chapters that in some cases used names referring back to Nazi Germany. The chapters operated across the country in a structure similar to biker gangs.', 'In another similarity to bikers, they reportedly required new members to complete several initiation steps through its supporting group Crew 38, which has also been banned.', 'The police raids targeted leaders of the chapters in 10 German states, aiming to seize assets belonging to the group. Several members of the group had licences to carry weapons, German media reported.', 'Members refer to each other as ""brothers"" and see themselves as the ""elite of the right-wing extremist skinhead scene"".', ""The German domestic intelligence agency previously said the group had also set up Germany's biggest far-right martial arts event, called Fight of the Nibelungs, which has been banned since 2019."", 'But Hammerskins continued to organise concerts that featured a range of neo-Nazi bands.', 'The ban is the 20th time a right-wing extremist association has been outlawed in Germany, the interior ministry said.', 'Hammerskins was the last major right-wing skinhead organisation in Germany after another group, Blood and Honour, had been outlawed in 2000.', 'Blood and Honour had close contacts to members of a neo-Nazi group that carried out 10 racially motivated murders in Germany.', 'In 2020, the country banned Combat 18, another neo-Nazi group involved in far-right concerts.', 'Germany\'s domestic intelligence agency estimates there are 38,800 people in the country\'s right-wing extremist scene, with more than a third of them considered ""potentially violent"".']"
FTX: 'King of Crypto' parents sued over missing millions,https://www.bbc.com/news/business-66857146,"['The parents of FTX founder Sam Bankman-Fried are being sued for money they allegedly received improperly from the crypto firm ahead of its collapse.', 'In a filing, managers at the bankrupt firm accuse the couple of holding millions of ""fraudulently transferred"" dollars and of turning a blind eye to misconduct at the company.', ""The action was filed on behalf of those owed money after the firm's failure."", 'The fall of the company led to the arrest of Mr Bankman-Fried last year.', 'US prosecutors have accused the former billionaire, once dubbed the ""King of Crypto"", of illegally transferring millions from the exchange to plug losses at his trading firm, make political donations and buy property.', 'He has denied the charges and is in jail awaiting trial next month.', 'Attorneys for his parents said the claims against them were ""completely false"" and designed to hurt their son\'s chances at trial.', 'The legal action, filed as part of a wider bankruptcy suit, says Mr Bankman-Fried\'s parents - then both professors at Stanford University - exploited their ""access and influence within the FTX enterprise to enrich themselves, directly and indirectly, by millions of dollars"".', 'They received a $10m (£8m) gift in cash from funds that belonged to Alameda, an FTX partner company, while FTX also gave them a $16.4m property in the Bahamas, according to the filing.', ""FTX was once one of the biggest cryptocurrency trading firms in the world, holding assets worth an estimated $15bn in 2021. It filed for bankruptcy last year, after a sudden rush by customers to withdraw funds revealed a huge gap in the company's finances reportedly worth up to $8bn."", 'Managers for the bankrupt firm say it was used by Mr Bankman-Fried and other ""insiders"" as a ""piggy bank"" and his parents ""helped perpetuate or benefited from this fraudulent largesse"".', 'The filing claims his father, Allan Joseph Bankman, an expert on US tax law, served as an adviser to FTX and ""played a key role in perpetuating this culture of misrepresentations and gross mismanagement and helped cover up allegations that would have exposed the fraud"".', 'He also helped to quash an internal complaint alleging price manipulation made in 2019, it adds.', 'Mr Bankman was allegedly treated to stays at hotels charging $1,200 a night, while the lawsuit cites messages in which he complains about receiving a $200,000 salary, claiming it is supposed to be $1m.', ""Meanwhile Mr Bankman-Fried's mother, Barbara Fried, helped direct her son's political donations, encouraging him to obscure their source, according to the filing."", 'Managers for FTX are seeking to recover money from the couple.', 'The downfall of Mr Bankman-Fried, one of the most high-profile players in the industry, sent shudders through the sector and helped to galvanise regulatory scrutiny.']"
